f,v
147.293,2.42245
182.19,4.85172
145.053,5.59646
126.847,5.90304
120.806,1.95802
189.417,4.64382
199.102,-3.86461
198.748,-4.17588
28.4551,-7.94699
174.07,-5.04405
154.804,-2.55923
167.899,2.81375
190.911,4.59304
194.935,3.56359
199.537,-3.98963
12.496,8.70766
198.961,-3.8446
189.259,-4.64897
147.288,2.42236
153.36,-2.53255
53.9972,-0.0176024
199.349,-3.91003
178.967,-3.05908
134.346,-2.19424
116.178,6.07952
43.5519,-7.48909
124.486,5.94212
142.84,2.34321
198.182,3.76295
188.345,3.31464
196.233,4.36366
85.5197,6.60296
183.467,-4.81828
196.804,-3.66391
90.645,-6.51193
86.2322,6.59018
161.961,-2.69505
91.4843,-6.49721
105.918,1.69103
107.678,6.22087
149.609,-2.46415
145.217,5.59362
131.821,5.8204
77.9293,1.11197
72.5809,0.974684
90.8215,1.39849
176.685,3.00501
116.825,-6.06881
199.532,4.01298
120.523,-1.95305
186.205,-4.7424
120.166,6.01356
197.904,-4.2544
84.5697,-1.26554
199.335,3.9068
95.1817,1.48639
185.694,-4.75705
181.13,3.11262
192.582,3.46239
182.675,-4.83915
198.93,-3.84056
179.762,4.91253
130.616,5.84047
196.844,-3.66637
175.602,5.00993
192.477,4.53524
191.39,-4.57592
181.471,-4.87009
148.968,2.45257
198.536,4.19851
184.059,-3.18952
194.739,4.43955
115.325,-1.8612
161.499,-5.29983
88.0781,6.55726
197.676,-4.27178
193.906,-3.51685
167.293,2.80131
195.409,-4.40714
70.9994,-0.930867
180.668,3.10097
176.157,-2.9928
165.789,2.77081
19.0497,8.33462
27.0264,-7.99886
104.987,-6.26598
173.432,-2.93145
95.9033,-1.50063
194.597,-4.4461
144.53,2.37316
137.305,-5.72852
185.188,4.77133
170.152,2.86071
56.4082,-7.17875
199.084,3.86193
109.39,1.75459
108.751,1.74296
139.072,-5.69868
44.6416,7.46064
80.3091,6.69783
27.5637,-7.97912
191.766,-3.43122
81.9222,-6.66819
89.8985,-1.37943
105.274,1.67913
127.529,2.07552
149.09,-5.52614
189.959,-4.62584
167.917,-2.81413
152.288,-2.51288
9.6506,8.92232
194.095,-3.52513
193.572,-3.50261
76.708,-1.08189
140.404,5.67608
196.273,4.36139
193.443,-3.49717
160.005,2.65724
199.411,4.06879
199.444,3.9355
55.6203,-0.284082
193.057,-3.4813
177.138,4.97484
117.795,1.905
114.06,-1.83866
46.5738,7.41131
147.921,-2.43372
116.35,1.87942
199.51,-3.96381
198.614,4.19049
123.505,2.00532
19.5037,8.31283
70.9184,6.8763
90.7196,1.3964
195.857,3.60998
117.284,1.89595
175.232,5.01825
146.863,2.41475
158.496,2.62846
185.849,4.75265
142.647,-5.63782
185.84,-3.23938
38.8595,7.61742
193.978,-4.47375
150.893,-2.48743
174.213,-2.94877
114.214,-6.11207
194.996,4.42742
199.154,-3.87279
172.508,5.07802
199.474,-4.0481
168.557,-5.16079
181.859,3.13124
193.954,-4.47479
193.896,-3.51645
122.979,-1.99611
181.68,-3.12663
180.714,4.88909
75.6512,-1.05531
197.078,-3.68117
56.5828,7.17486
192.951,-4.51656
173.497,2.9329
141.529,-5.65694
186.028,-4.74753
65.5141,6.9845
94.149,6.45078
195.153,-4.4198
130.779,-5.83775
53.9918,-0.00651701
175.735,2.98314
129.601,-2.1116
68.1918,0.84829
185.638,-4.75866
149.57,-5.51769
52.7862,7.26119
199.154,4.12174
49.4265,7.34088
179.596,3.0744
59.3039,0.514642
199.438,3.93366
144.378,5.60809
199.132,-3.86928
185.825,4.75334
124.173,-5.94732
98.9571,-1.56001
160.108,2.65923
145.42,5.5901
168.743,2.8312
106.761,1.70655
194.648,-3.55009
193.102,-4.51045
195.211,3.57698
195.157,-3.5743
94.1959,1.46681
183.308,-4.82252
132.85,2.16818
26.138,-8.03215
136.857,-2.23807
122.27,-1.9837
107.981,1.72893
129.324,-2.10678
8.20951,9.05203
62.397,-0.649148
96.0179,6.41849
169.948,-2.8564
191.686,4.5651
161.983,-2.69546
165.662,-2.76823
4.45154,9.51537
85.5528,-1.28709
199.43,-4.06321
197.562,-4.28012
112.981,6.13251
135.917,-5.75189
192.539,-3.4607
165.703,5.21819
8.6689,-9.00873
181.387,-3.11916
120.426,6.00925
198.753,-3.81911
158.7,2.63234
123.36,-5.96076
85.2974,-6.60696
199.505,-3.96086
162.158,5.28724
88.718,1.35477
74.6601,1.02986
193.969,-3.51962
123.607,5.95667
184.271,3.19533
191.227,-4.58181
31.8842,7.82994
56.1605,-0.327961
144.493,2.37249
197.168,-4.30718
144.169,-5.6117
86.9621,-1.31753
199.317,-3.90291
197.194,4.30544
197.926,-4.25265
63.2482,-0.681752
172.153,-2.9035
194.837,-4.43494
77.744,1.10745
196.275,-4.36128
118.051,6.04853
196.941,4.32178
184.567,-4.78855
153.282,2.53112
53.7453,7.23903
183.357,4.82122
191.872,3.43519
25.1674,-8.06952
21.5893,-8.21756
194.881,-3.56103
73.2624,0.993052
168.466,2.82546
160.757,5.31393
85.4423,1.28468
184.395,-3.19874
161.247,-2.68117
94.9624,-6.4367
58.7743,-7.12662
162.236,-2.7004
93.8953,-1.46081
177.169,-4.97412
62.0271,-7.05692
190.468,4.60851
114.427,1.84522
185.017,3.216
131.248,5.82994
73.2283,0.99214
54.0311,-0.0445047
173.614,2.93548
196.484,-3.6448
77.4475,1.10019
101.89,-6.31824
168.557,-2.82733
172.801,-2.9176
199.307,-4.09376
30.983,7.85977
198.739,3.81754
198.676,-4.18386
198.831,-3.8282
198.67,3.80993
190.916,-3.40035
55.0336,-0.227128
198.833,-3.82853
183.003,3.16115
192.74,-4.52493
111.487,6.15734
125.92,-2.04748
119.563,6.02352
40.0702,7.58333
115.994,-6.08257
124.425,5.94314
168.382,-2.82371
182.035,-3.13579
182.853,-4.8345
195.221,4.41648
185.696,-3.23526
62.2959,-0.645172
196.78,4.33175
90.9795,-1.40174
111.737,-6.15318
198.033,4.24398
190.469,4.60848
77.7801,-6.74487
140.144,-5.6805
127.811,-5.88706
136.057,-5.74953
198.724,-3.81593
67.4889,-0.826477
193.832,-3.51367
196.125,-4.36961
161.3,-5.30362
144.187,2.36706
169.743,2.85209
68.3216,-0.852261
25.0969,-8.07227
83.6564,6.63659
198.669,-3.80989
166.948,5.19338
196.747,4.33372
81.7418,1.20199
134.357,-5.77804
150.738,-2.48461
54.1209,-0.0801164
147.597,-5.55228
78.7572,6.72661
121.292,-5.99495
199.536,-4.00706
68.6415,-0.861983
171.767,-2.89515
161.078,5.30784
189.185,3.34155
192.762,4.52408
86.398,-1.3054
122.077,-5.98197
159.25,5.34229
191.384,-4.57615
123.179,5.96375
154.063,-5.43756
131.289,2.14099
54.1801,0.0966735
127.118,5.89855
169.406,-5.14335
64.8997,0.741196
197.681,-4.27145
151.683,2.50181
190.648,-4.60228
199.472,3.94561
172.017,5.08853
71.6606,-0.949399
197.496,-3.70948
59.4996,-0.524128
174.154,5.04218
4.47508,-9.51155
55.2571,7.20459
167.915,5.17387
190.31,4.61393
176.927,3.01064
112.981,1.81936
193.683,-3.50728
84.2342,-1.25812
133.349,-2.17688
90.2113,-1.38591
53.0284,7.25557
55.7101,-0.291826
181.142,-3.11293
199.471,-4.04947
196.118,-3.62408
187.808,-3.29792
19.1406,8.33023
189.343,4.64622
77.7985,1.10878
170.341,2.86471
185.616,-3.23296
48.8604,7.35464
169.126,-2.83917
44.2223,-7.47153
77.7728,6.745
55.1399,-0.238456
127.355,-5.89462
21.3162,8.22961
156.85,-5.38679
94.1476,1.46585
176.894,-4.98047
65.6458,0.766657
